Sample_Name,Microbiome,Sample,Rep,fq1,fq2
S3-B57-2,S3,B57,2,S3-B57-2_L001_R1_001.fastq.gz,S3-B57-2_L001_R2_001.fastq.gz
S15-B57-2,S15,B57,2,S15-B57-2_L001_R1_001.fastq.gz,S15-B57-2_L001_R2_001.fastq.gz
S6-B57-2,S6,B57,2,S6-B57-2_L001_R1_001.fastq.gz,S6-B57-2_L001_R2_001.fastq.gz
S9-B57-1,S9,B57,1,S9-B57-1_L001_R1_001.fastq.gz,S9-B57-1_L001_R2_001.fastq.gz
S2-B57-1,S2,B57,1,S2-B57-1_L001_R1_001.fastq.gz,S2-B57-1_L001_R2_001.fastq.gz
S18-B57-1,S18,B57,1,S18-B57-1_L001_R1_001.fastq.gz,S18-B57-1_L001_R2_001.fastq.gz
S19-B57-2,S19,B57,2,S19-B57-2_L001_R1_001.fastq.gz,S19-B57-2_L001_R2_001.fastq.gz
S12-B57-1,S12,B57,1,S12-B57-1_L001_R1_001.fastq.gz,S12-B57-1_L001_R2_001.fastq.gz
S20-B57-1,S20,B57,1,S20-B57-1_L001_R1_001.fastq.gz,S20-B57-1_L001_R2_001.fastq.gz
S22-B57-1,S22,B57,1,S22-B57-1_L001_R1_001.fastq.gz,S22-B57-1_L001_R2_001.fastq.gz
S24-B57-1,S24,B57,1,S24-B57-1_L001_R1_001.fastq.gz,S24-B57-1_L001_R2_001.fastq.gz
S14-B57-1,S14,B57,1,S14-B57-1_L001_R1_001.fastq.gz,S14-B57-1_L001_R2_001.fastq.gz
S7-B57-1,S7,B57,1,S7-B57-1_L001_R1_001.fastq.gz,S7-B57-1_L001_R2_001.fastq.gz
S16-B57-2,S16,B57,2,S16-B57-2_L001_R1_001.fastq.gz,S16-B57-2_L001_R2_001.fastq.gz
S4-B57-1,S4,B57,1,S4-B57-1_L001_R1_001.fastq.gz,S4-B57-1_L001_R2_001.fastq.gz
S9-B57-2,S9,B57,2,S9-B57-2_L001_R1_001.fastq.gz,S9-B57-2_L001_R2_001.fastq.gz
S3-B57-1,S3,B57,1,S3-B57-1_L001_R1_001.fastq.gz,S3-B57-1_L001_R2_001.fastq.gz
S5-B57-2,S5,B57,2,S5-B57-2_L001_R1_001.fastq.gz,S5-B57-2_L001_R2_001.fastq.gz
S21-B57-2,S21,B57,2,S21-B57-2_L001_R1_001.fastq.gz,S21-B57-2_L001_R2_001.fastq.gz
S22-B57-2,S22,B57,2,S22-B57-2_L001_R1_001.fastq.gz,S22-B57-2_L001_R2_001.fastq.gz
S4-B57-2,S4,B57,2,S4-B57-2_L001_R1_001.fastq.gz,S4-B57-2_L001_R2_001.fastq.gz
S14-B57-2,S14,B57,2,S14-B57-2_L001_R1_001.fastq.gz,S14-B57-2_L001_R2_001.fastq.gz
S20-B57-2,S20,B57,2,S20-B57-2_L001_R1_001.fastq.gz,S20-B57-2_L001_R2_001.fastq.gz
S17-B57-1,S17,B57,1,S17-B57-1_L001_R1_001.fastq.gz,S17-B57-1_L001_R2_001.fastq.gz
S24-B57-2,S24,B57,2,S24-B57-2_L001_R1_001.fastq.gz,S24-B57-2_L001_R2_001.fastq.gz
S18-B57-2,S18,B57,2,S18-B57-2_L001_R1_001.fastq.gz,S18-B57-2_L001_R2_001.fastq.gz
S1-B57-1,S1,B57,1,S1-B57-1_L001_R1_001.fastq.gz,S1-B57-1_L001_R2_001.fastq.gz
S5-B57-1,S5,B57,1,S5-B57-1_L001_R1_001.fastq.gz,S5-B57-1_L001_R2_001.fastq.gz
S19-B57-1,S19,B57,1,S19-B57-1_L001_R1_001.fastq.gz,S19-B57-1_L001_R2_001.fastq.gz
S16-B57-1,S16,B57,1,S16-B57-1_L001_R1_001.fastq.gz,S16-B57-1_L001_R2_001.fastq.gz
S1-B57-2,S1,B57,2,S1-B57-2_L001_R1_001.fastq.gz,S1-B57-2_L001_R2_001.fastq.gz
S6-B57-1,S6,B57,1,S6-B57-1_L001_R1_001.fastq.gz,S6-B57-1_L001_R2_001.fastq.gz
S2-B57-2,S2,B57,2,S2-B57-2_L001_R1_001.fastq.gz,S2-B57-2_L001_R2_001.fastq.gz
S21-B57-1,S21,B57,1,S21-B57-1_L001_R1_001.fastq.gz,S21-B57-1_L001_R2_001.fastq.gz
S17-B57-2,S17,B57,2,S17-B57-2_L001_R1_001.fastq.gz,S17-B57-2_L001_R2_001.fastq.gz
S7-B57-2,S7,B57,2,S7-B57-2_L001_R1_001.fastq.gz,S7-B57-2_L001_R2_001.fastq.gz
S15-B57-1,S15,B57,1,S15-B57-1_L001_R1_001.fastq.gz,S15-B57-1_L001_R2_001.fastq.gz
S12-FBB0-2,S12,FBB0,2,S12-FBB0-2_L001_R1_001.fastq.gz,S12-FBB0-2_L001_R2_001.fastq.gz
S3-FBB0-2,S3,FBB0,2,S3-FBB0-2_L001_R1_001.fastq.gz,S3-FBB0-2_L001_R2_001.fastq.gz
S6-FBB0-2,S6,FBB0,2,S6-FBB0-2_L001_R1_001.fastq.gz,S6-FBB0-2_L001_R2_001.fastq.gz
S15-FBB0-2,S15,FBB0,2,S15-FBB0-2_L001_R1_001.fastq.gz,S15-FBB0-2_L001_R2_001.fastq.gz
S9-FBB0-1,S9,FBB0,1,S9-FBB0-1_L001_R1_001.fastq.gz,S9-FBB0-1_L001_R2_001.fastq.gz
S2-FBB0-1,S2,FBB0,1,S2-FBB0-1_L001_R1_001.fastq.gz,S2-FBB0-1_L001_R2_001.fastq.gz
S18-FBB0-1,S18,FBB0,1,S18-FBB0-1_L001_R1_001.fastq.gz,S18-FBB0-1_L001_R2_001.fastq.gz
S19-FBB0-2,S19,FBB0,2,S19-FBB0-2_L001_R1_001.fastq.gz,S19-FBB0-2_L001_R2_001.fastq.gz
S12-FBB0-1,S12,FBB0,1,S12-FBB0-1_L001_R1_001.fastq.gz,S12-FBB0-1_L001_R2_001.fastq.gz
S20-FBB0-1,S20,FBB0,1,S20-FBB0-1_L001_R1_001.fastq.gz,S20-FBB0-1_L001_R2_001.fastq.gz
S22-FBB0-1,S22,FBB0,1,S22-FBB0-1_L001_R1_001.fastq.gz,S22-FBB0-1_L001_R2_001.fastq.gz
S24-FBB0-1,S24,FBB0,1,S24-FBB0-1_L001_R1_001.fastq.gz,S24-FBB0-1_L001_R2_001.fastq.gz
S14-FBB0-1,S14,FBB0,1,S14-FBB0-1_L001_R1_001.fastq.gz,S14-FBB0-1_L001_R2_001.fastq.gz
S7-FBB0-1,S7,FBB0,1,S7-FBB0-1_L001_R1_001.fastq.gz,S7-FBB0-1_L001_R2_001.fastq.gz
S4-FBB0-1,S4,FBB0,1,S4-FBB0-1_L001_R1_001.fastq.gz,S4-FBB0-1_L001_R2_001.fastq.gz
S16-FBB0-2,S16,FBB0,2,S16-FBB0-2_L001_R1_001.fastq.gz,S16-FBB0-2_L001_R2_001.fastq.gz
