Bacteroides,Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed
1720,S20-NC262-1,S20,NC262,1,S20_NC262
1725,S1-NC262-1,S1,NC262,1,S1_NC262
3524,S5-NC262-1,S5,NC262,1,S5_NC262
1458,S19-NC262-1,S19,NC262,1,S19_NC262
1409,S16-NC262-1,S16,NC262,1,S16_NC262
3381,S6-NC262-1,S6,NC262,1,S6_NC262
1448,S2-NC262-2,S2,NC262,2,S2_NC262
1773,S1-NC262-2,S1,NC262,2,S1_NC262
5027,S21-NC262-1,S21,NC262,1,S21_NC262
3674,S17-NC262-2,S17,NC262,2,S17_NC262
2183,S7-NC262-2,S7,NC262,2,S7_NC262
2539,S12-PHG35-2,S12,PHG35,2,S12_PHG35
2615,S3-PHG35-2,S3,PHG35,2,S3_PHG35
2203,S15-PHG35-2,S15,PHG35,2,S15_PHG35
3762,S6-PHG35-2,S6,PHG35,2,S6_PHG35
3215,S9-PHG35-1,S9,PHG35,1,S9_PHG35
2362,S2-PHG35-1,S2,PHG35,1,S2_PHG35
4288,S18-PHG35-1,S18,PHG35,1,S18_PHG35
1650,S19-PHG35-2,S19,PHG35,2,S19_PHG35
3004,S12-PHG35-1,S12,PHG35,1,S12_PHG35
2355,S22-PHG35-1,S22,PHG35,1,S22_PHG35
5663,S24-PHG35-1,S24,PHG35,1,S24_PHG35
498,S14-PHG35-1,S14,PHG35,1,S14_PHG35
2747,S7-PHG35-1,S7,PHG35,1,S7_PHG35
1244,S16-PHG35-2,S16,PHG35,2,S16_PHG35
2881,S4-PHG35-1,S4,PHG35,1,S4_PHG35
2827,S9-PHG35-2,S9,PHG35,2,S9_PHG35
2663,S3-PHG35-1,S3,PHG35,1,S3_PHG35
3503,S5-PHG35-2,S5,PHG35,2,S5_PHG35
5581,S21-PHG35-2,S21,PHG35,2,S21_PHG35
3285,S17-PHG35-1,S17,PHG35,1,S17_PHG35
3452,S22-PHG35-2,S22,PHG35,2,S22_PHG35
2868,S4-PHG35-2,S4,PHG35,2,S4_PHG35
445,S14-PHG35-2,S14,PHG35,2,S14_PHG35
1692,S20-PHG35-2,S20,PHG35,2,S20_PHG35
4571,S24-PHG35-2,S24,PHG35,2,S24_PHG35
4789,S18-PHG35-2,S18,PHG35,2,S18_PHG35
2221,S1-PHG35-1,S1,PHG35,1,S1_PHG35
3643,S5-PHG35-1,S5,PHG35,1,S5_PHG35
1373,S19-PHG35-1,S19,PHG35,1,S19_PHG35
2345,S1-PHG35-2,S1,PHG35,2,S1_PHG35
1117,S16-PHG35-1,S16,PHG35,1,S16_PHG35
4899,S6-PHG35-1,S6,PHG35,1,S6_PHG35
2218,S2-PHG35-2,S2,PHG35,2,S2_PHG35
5846,S21-PHG35-1,S21,PHG35,1,S21_PHG35
3598,S17-PHG35-2,S17,PHG35,2,S17_PHG35
1940,S7-PHG35-2,S7,PHG35,2,S7_PHG35
1926,S12-PHG39-2,S12,PHG39,2,S12_PHG39
1959,S3-PHG39-2,S3,PHG39,2,S3_PHG39
2137,S15-PHG39-2,S15,PHG39,2,S15_PHG39
3017,S9-PHG39-1,S9,PHG39,1,S9_PHG39
3421,S6-PHG39-2,S6,PHG39,2,S6_PHG39
1959,S2-PHG39-1,S2,PHG39,1,S2_PHG39
4568,S18-PHG39-1,S18,PHG39,1,S18_PHG39
1514,S19-PHG39-2,S19,PHG39,2,S19_PHG39
2379,S12-PHG39-1,S12,PHG39,1,S12_PHG39
3600,S22-PHG39-1,S22,PHG39,1,S22_PHG39
1071,S16-PHG39-2,S16,PHG39,2,S16_PHG39
5684,S24-PHG39-1,S24,PHG39,1,S24_PHG39
466,S14-PHG39-1,S14,PHG39,1,S14_PHG39
2472,S7-PHG39-1,S7,PHG39,1,S7_PHG39
2743,S4-PHG39-1,S4,PHG39,1,S4_PHG39
2761,S9-PHG39-2,S9,PHG39,2,S9_PHG39
2447,S3-PHG39-1,S3,PHG39,1,S3_PHG39
3802,S5-PHG39-2,S5,PHG39,2,S5_PHG39
5007,S21-PHG39-2,S21,PHG39,2,S21_PHG39
3071,S17-PHG39-1,S17,PHG39,1,S17_PHG39
3549,S22-PHG39-2,S22,PHG39,2,S22_PHG39
2651,S4-PHG39-2,S4,PHG39,2,S4_PHG39
341,S14-PHG39-2,S14,PHG39,2,S14_PHG39
1786,S20-PHG39-2,S20,PHG39,2,S20_PHG39
4445,S24-PHG39-2,S24,PHG39,2,S24_PHG39
4136,S18-PHG39-2,S18,PHG39,2,S18_PHG39
1778,S20-PHG39-1,S20,PHG39,1,S20_PHG39
1409,S1-PHG39-1,S1,PHG39,1,S1_PHG39
4684,S5-PHG39-1,S5,PHG39,1,S5_PHG39
1393,S19-PHG39-1,S19,PHG39,1,S19_PHG39
2196,S1-PHG39-2,S1,PHG39,2,S1_PHG39
1096,S16-PHG39-1,S16,PHG39,1,S16_PHG39
3562,S6-PHG39-1,S6,PHG39,1,S6_PHG39
1997,S2-PHG39-2,S2,PHG39,2,S2_PHG39
4971,S21-PHG39-1,S21,PHG39,1,S21_PHG39
4022,S17-PHG39-2,S17,PHG39,2,S17_PHG39
2206,S15-PHG39-1,S15,PHG39,1,S15_PHG39
1843,S7-PHG39-2,S7,PHG39,2,S7_PHG39
4521,S12-PHG47-2,S12,PHG47,2,S12_PHG47
3326,S3-PHG47-2,S3,PHG47,2,S3_PHG47
2399,S15-PHG47-2,S15,PHG47,2,S15_PHG47
3524,S9-PHG47-1,S9,PHG47,1,S9_PHG47
3007,S2-PHG47-1,S2,PHG47,1,S2_PHG47
5543,S6-PHG47-2,S6,PHG47,2,S6_PHG47
5184,S18-PHG47-1,S18,PHG47,1,S18_PHG47
1753,S19-PHG47-2,S19,PHG47,2,S19_PHG47
1374,S12-PHG47-1,S12,PHG47,1,S12_PHG47
2819,S22-PHG47-1,S22,PHG47,1,S22_PHG47
5138,S24-PHG47-1,S24,PHG47,1,S24_PHG47
507,S14-PHG47-1,S14,PHG47,1,S14_PHG47
2033,S7-PHG47-1,S7,PHG47,1,S7_PHG47
3180,S4-PHG47-1,S4,PHG47,1,S4_PHG47
990,S16-PHG47-2,S16,PHG47,2,S16_PHG47
3275,S9-PHG47-2,S9,PHG47,2,S9_PHG47
2665,S15-PHG47-1,S15,PHG47,1,S15_PHG47
2819,S3-PHG47-1,S3,PHG47,1,S3_PHG47
4508,S5-PHG47-2,S5,PHG47,2,S5_PHG47
5151,S21-PHG47-2,S21,PHG47,2,S21_PHG47
3880,S22-PHG47-2,S22,PHG47,2,S22_PHG47
3100,S4-PHG47-2,S4,PHG47,2,S4_PHG47
397,S14-PHG47-2,S14,PHG47,2,S14_PHG47
3376,S17-PHG47-1,S17,PHG47,1,S17_PHG47
969,S20-PHG47-2,S20,PHG47,2,S20_PHG47
5192,S24-PHG47-2,S24,PHG47,2,S24_PHG47
1597,S20-PHG47-1,S20,PHG47,1,S20_PHG47
5417,S18-PHG47-2,S18,PHG47,2,S18_PHG47
2698,S1-PHG47-1,S1,PHG47,1,S1_PHG47
4621,S5-PHG47-1,S5,PHG47,1,S5_PHG47
1372,S19-PHG47-1,S19,PHG47,1,S19_PHG47
850,S16-PHG47-1,S16,PHG47,1,S16_PHG47
6564,S6-PHG47-1,S6,PHG47,1,S6_PHG47
3284,S1-PHG47-2,S1,PHG47,2,S1_PHG47
2953,S2-PHG47-2,S2,PHG47,2,S2_PHG47
5742,S21-PHG47-1,S21,PHG47,1,S21_PHG47
4650,S17-PHG47-2,S17,PHG47,2,S17_PHG47
2687,S7-PHG47-2,S7,PHG47,2,S7_PHG47
