B.gallicum,B.NA1,B.NA2,B.NA3,B.NA4,B.NA5,B.NA6,B.NA7,B.catenulatum,B.NA8,B.breve,B.adolescentis,B.bifidum,Sample_Name,Microbiome,Seed_Type,Reps
0,0,0,0,0,0,0,0,0,0,0,5,0,S19-A554-2,S19,A554,2
0,0,0,0,0,0,0,0,0,0,2,0,0,S12-A554-1,S12,A554,1
0,0,0,0,0,0,0,0,0,0,1,0,0,S22-A554-1,S22,A554,1
0,0,0,0,0,0,0,0,0,0,1,0,0,S24-A554-1,S24,A554,1
0,0,0,0,0,0,0,0,1,0,0,1,0,S14-A554-1,S14,A554,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S16-A554-2,S16,A554,2
0,0,0,0,0,0,0,0,0,0,2,0,0,S7-A554-1,S7,A554,1
0,0,0,0,0,0,0,0,1,0,0,0,0,S4-A554-1,S4,A554,1
0,0,0,0,0,0,0,0,16,0,5,0,0,S9-A554-2,S9,A554,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S3-A554-1,S3,A554,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S5-A554-2,S5,A554,2
0,0,0,0,0,0,0,0,1,0,0,0,0,S15-A554-1,S15,A554,1
0,0,0,0,0,0,0,0,0,1,1,0,2,S21-A554-2,S21,A554,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S22-A554-2,S22,A554,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S4-A554-2,S4,A554,2
2,0,0,0,0,0,0,0,0,2,0,1,0,S14-A554-2,S14,A554,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S17-A554-1,S17,A554,1
0,0,0,0,0,2,0,0,0,0,2,21,0,S20-A554-2,S20,A554,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S24-A554-2,S24,A554,2
0,0,0,0,0,0,0,0,1,0,0,2,2,S18-A554-2,S18,A554,2
0,0,0,0,0,0,0,0,0,0,0,3,0,S1-A554-1,S1,A554,1
0,0,0,0,0,0,0,0,0,0,0,6,0,S5-A554-1,S5,A554,1
0,0,0,0,0,0,0,0,0,0,0,2,0,S19-A554-1,S19,A554,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S16-A554-1,S16,A554,1
0,0,0,0,0,0,0,0,0,0,8,0,0,S6-A554-1,S6,A554,1
0,0,0,0,0,0,0,0,0,0,3,1,0,S2-A554-2,S2,A554,2
0,0,0,0,0,0,0,0,0,0,0,5,0,S1-A554-2,S1,A554,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S21-A554-1,S21,A554,1
0,0,0,0,0,0,0,0,0,1,0,0,0,S17-A554-2,S17,A554,2
0,0,0,0,0,0,0,0,0,0,0,2,0,S7-A554-2,S7,A554,2
0,0,0,0,0,0,0,0,0,0,1,0,0,S12-B57-2,S12,B57,2
0,0,0,0,0,0,0,0,0,0,2,0,0,S3-B57-2,S3,B57,2
0,0,0,0,0,0,0,0,1,0,0,0,0,S15-B57-2,S15,B57,2
0,0,0,0,0,0,0,0,0,0,1,0,0,S6-B57-2,S6,B57,2
0,0,1,0,0,0,0,0,18,1,2,0,0,S9-B57-1,S9,B57,1
0,0,1,3,0,0,0,0,0,0,3,0,0,S2-B57-1,S2,B57,1
0,0,0,0,0,0,0,0,1,0,0,0,0,S18-B57-1,S18,B57,1
0,0,0,0,0,0,0,0,0,0,1,1,1,S19-B57-2,S19,B57,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S12-B57-1,S12,B57,1
0,0,0,1,0,0,0,0,0,0,4,33,0,S20-B57-1,S20,B57,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S22-B57-1,S22,B57,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S24-B57-1,S24,B57,1
1,0,0,0,0,0,0,0,0,0,2,3,0,S14-B57-1,S14,B57,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S7-B57-1,S7,B57,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S16-B57-2,S16,B57,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S4-B57-1,S4,B57,1
0,0,1,0,0,0,0,0,22,1,11,0,0,S9-B57-2,S9,B57,2
0,0,0,0,0,0,0,0,0,0,2,0,0,S3-B57-1,S3,B57,1
0,0,0,0,0,0,0,0,0,0,0,1,0,S5-B57-2,S5,B57,2
0,0,0,0,0,0,0,0,0,0,2,0,0,S21-B57-2,S21,B57,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S22-B57-2,S22,B57,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S4-B57-2,S4,B57,2
0,0,0,0,0,0,0,0,1,0,0,0,0,S14-B57-2,S14,B57,2
0,0,0,0,0,0,0,0,4,0,5,43,2,S20-B57-2,S20,B57,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S17-B57-1,S17,B57,1
0,0,0,0,0,0,0,0,0,0,2,0,0,S24-B57-2,S24,B57,2
0,0,0,0,0,1,0,0,0,0,0,3,0,S18-B57-2,S18,B57,2
0,0,0,0,0,0,0,1,0,0,2,3,1,S1-B57-1,S1,B57,1
0,0,0,0,0,0,0,0,0,0,0,2,0,S5-B57-1,S5,B57,1
0,0,0,0,0,0,2,0,2,0,0,4,0,S19-B57-1,S19,B57,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S16-B57-1,S16,B57,1
0,0,0,0,2,0,0,0,0,0,0,5,0,S1-B57-2,S1,B57,2
0,0,0,0,0,0,0,0,0,0,0,3,0,S6-B57-1,S6,B57,1
0,0,0,0,0,0,0,0,0,0,2,2,3,S2-B57-2,S2,B57,2
0,0,0,0,0,0,0,0,0,0,2,0,0,S21-B57-1,S21,B57,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S17-B57-2,S17,B57,2
0,0,0,0,0,0,0,0,0,0,0,1,0,S7-B57-2,S7,B57,2
0,0,0,0,0,0,0,0,9,0,1,0,0,S15-B57-1,S15,B57,1
0,0,0,0,0,0,0,0,0,0,2,0,0,S12-FBB0-2,S12,FBB0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S3-FBB0-2,S3,FBB0,2
0,0,0,0,0,0,0,0,0,0,7,0,0,S6-FBB0-2,S6,FBB0,2
0,0,0,0,0,1,0,0,3,0,0,0,0,S15-FBB0-2,S15,FBB0,2
0,0,2,0,0,3,0,0,120,2,56,0,0,S9-FBB0-1,S9,FBB0,1
0,0,0,0,0,0,0,0,0,0,8,7,2,S2-FBB0-1,S2,FBB0,1
0,0,0,0,0,0,0,0,2,0,0,0,0,S18-FBB0-1,S18,FBB0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,S19-FBB0-2,S19,FBB0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S12-FBB0-1,S12,FBB0,1
0,0,0,0,0,0,0,0,2,0,0,12,0,S20-FBB0-1,S20,FBB0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S22-FBB0-1,S22,FBB0,1
0,0,0,0,0,0,0,0,0,0,4,0,2,S24-FBB0-1,S24,FBB0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S14-FBB0-1,S14,FBB0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S7-FBB0-1,S7,FBB0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S4-FBB0-1,S4,FBB0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,S16-FBB0-2,S16,FBB0,2
0,0,2,0,0,4,0,0,134,0,50,0,0,S9-FBB0-2,S9,FBB0,2
0,0,0,0,0,0,0,0,0,0,3,0,0,S3-FBB0-1,S3,FBB0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S5-FBB0-2,S5,FBB0,2
0,0,0,0,0,0,0,0,0,0,0,0,1,S21-FBB0-2,S21,FBB0,2
0,0,0,0,2,0,0,0,0,0,3,0,0,S22-FBB0-2,S22,FBB0,2
0,0,0,0,0,0,0,0,0,3,0,0,0,S17-FBB0-1,S17,FBB0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S4-FBB0-2,S4,FBB0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S14-FBB0-2,S14,FBB0,2
0,0,0,0,0,1,0,0,3,0,0,24,0,S20-FBB0-2,S20,FBB0,2
0,0,0,0,0,0,0,0,0,0,1,0,0,S24-FBB0-2,S24,FBB0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S18-FBB0-2,S18,FBB0,2
0,0,0,0,0,0,0,0,0,0,0,8,0,S1-FBB0-1,S1,FBB0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S5-FBB0-1,S5,FBB0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,S19-FBB0-1,S19,FBB0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S16-FBB0-1,S16,FBB0,1
0,0,0,0,0,1,0,0,0,0,2,14,0,S1-FBB0-2,S1,FBB0,2
0,0,0,0,0,0,0,0,0,0,7,0,0,S6-FBB0-1,S6,FBB0,1
0,0,0,0,0,0,0,0,0,0,18,7,1,S2-FBB0-2,S2,FBB0,2
0,0,0,0,0,0,0,0,0,0,2,0,0,S21-FBB0-1,S21,FBB0,1
0,0,0,0,0,1,0,0,0,0,3,0,0,S15-FBB0-1,S15,FBB0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,S17-FBB0-2,S17,FBB0,2
0,0,0,0,0,0,0,0,0,0,0,8,0,S7-FBB0-2,S7,FBB0,2
0,0,0,0,0,0,0,0,0,0,3,0,0,S12-HP301-2,S12,HP301,2
0,0,0,0,0,0,0,0,0,0,4,0,0,S3-HP301-2,S3,HP301,2
0,0,0,0,0,0,0,0,0,0,0,0,0,S15-HP301-2,S15,HP301,2
0,0,0,0,1,1,1,0,34,0,11,0,0,S9-HP301-1,S9,HP301,1
0,0,0,0,0,0,0,0,0,0,0,0,0,S6-HP301-2,S6,HP301,2
0,0,0,0,0,0,0,0,0,0,1,1,3,S2-HP301-1,S2,HP301,1
0,0,0,0,0,0,0,0,0,0,0,0,1,S18-HP301-1,S18,HP301,1
0,0,0,0,0,0,0,0,0,0,1,5,0,S19-HP301-2,S19,HP301,2
0,0,0,0,1,0,0,0,1,0,1,25,1,S20-HP301-1,S20,HP301,1
