Sample Name,CT,Microbiome,Seed_Name
S18-FBB0-2,26.235,S18,FBB0
S18-HP301-1,24.692,S18,HP301
S18-HP301-1,24.673,S18,HP301
S18-HP301-2,25.918,S18,HP301
S18-HP301-2,26.745,S18,HP301
S18-LH60-1,25.475,S18,LH60
S18-LH60-1,25.184,S18,LH60
S18-LH60-2,25.228,S18,LH60
S18-LH60-2,25.375,S18,LH60
S18-NC262-1,25.342,S18,NC262
S18-NC262-1,25.11,S18,NC262
S18-NC262-2,25.326,S18,NC262
S18-NC262-2,24.885,S18,NC262
S18-PHG35-1,25.498,S18,PHG35
S18-PHG35-1,25.258,S18,PHG35
S18-PHG35-2,25.992,S18,PHG35
S18-PHG35-2,25.349,S18,PHG35
S18-PHG39-1,25.781,S18,PHG39
S18-PHG39-1,26.405,S18,PHG39
S18-PHG39-2,25.772,S18,PHG39
S18-PHG39-2,25.319,S18,PHG39
S18-PHG47-1,25.7,S18,PHG47
S18-PHG47-1,25.8,S18,PHG47
S18-PHG47-2,24.401,S18,PHG47
S18-PHG47-2,24.222,S18,PHG47
S19-764-1,22.286,S19,764
S19-764-1,22.903,S19,764
S19-764-2,24.778,S19,764
S19-764-2,24.637,S19,764
S19-A554-1,23.228,S19,A554
S19-A554-1,23.306,S19,A554
S19-A554-2,24.223,S19,A554
S19-A554-2,24.566,S19,A554
S19-B57-1,24.337,S19,B57
S19-B57-1,24.56,S19,B57
S19-B57-2,23.328,S19,B57
S19-B57-2,22.563,S19,B57
S19-FBB0-1,23.619,S19,FBB0
S19-FBB0-1,24.154,S19,FBB0
S19-FBB0-2,26.115,S19,FBB0
S19-FBB0-2,26.18,S19,FBB0
S19-HP301-1,23.3,S19,HP301
S19-HP301-1,23.993,S19,HP301
S19-HP301-2,23.963,S19,HP301
S19-HP301-2,23.415,S19,HP301
S19-LH60-1,23.013,S19,LH60
S19-LH60-1,22.871,S19,LH60
S19-LH60-2,23.862,S19,LH60
S19-LH60-2,23.976,S19,LH60
S19-NC262-1,22.521,S19,NC262
S19-NC262-1,22.959,S19,NC262
S19-NC262-2,23.369,S19,NC262
S19-NC262-2,23.501,S19,NC262
S19-PHG35-1,23.557,S19,PHG35
S19-PHG35-1,23.836,S19,PHG35
S19-PHG35-2,23.41,S19,PHG35
S19-PHG35-2,22.945,S19,PHG35
S19-PHG39-1,22.937,S19,PHG39
S19-PHG39-1,23.311,S19,PHG39
S19-PHG39-2,23.892,S19,PHG39
S19-PHG39-2,23.529,S19,PHG39
S19-PHG47-1,21.007,S19,PHG47
S19-PHG47-1,21.371,S19,PHG47
S19-PHG47-2,23.309,S19,PHG47
S19-PHG47-2,23.212,S19,PHG47
S2-764-1,23.407,S2,764
S2-764-1,22.709,S2,764
S2-764-2,23.061,S2,764
S2-764-2,23.202,S2,764
S2-A554-1,23.737,S2,A554
S2-A554-1,23.616,S2,A554
S2-A554-2,23.941,S2,A554
S2-A554-2,23.887,S2,A554
S2-B57-1,24.787,S2,B57
S2-B57-1,24.451,S2,B57
S2-B57-2,23.135,S2,B57
S2-B57-2,22.933,S2,B57
S2-FBB0-1,24.389,S2,FBB0
S2-FBB0-1,24.046,S2,FBB0
S2-FBB0-2,23.552,S2,FBB0
S2-FBB0-2,22.996,S2,FBB0
S2-HP301-1,23.424,S2,HP301
S2-HP301-1,22.982,S2,HP301
S2-HP301-2,23.23,S2,HP301
S2-HP301-2,23.215,S2,HP301
S2-LH60-1,23.856,S2,LH60
S2-LH60-1,23.673,S2,LH60
S2-LH60-2,22.834,S2,LH60
S2-LH60-2,23.549,S2,LH60
S2-NC262-1,23.719,S2,NC262
S2-NC262-1,23.424,S2,NC262
S2-NC262-2,23.834,S2,NC262
S2-NC262-2,23.572,S2,NC262
S2-PHG35-1,23.727,S2,PHG35
S2-PHG35-1,24.355,S2,PHG35
S2-PHG35-2,22.591,S2,PHG35
S2-PHG35-2,22.63,S2,PHG35
S2-PHG39-1,25.707,S2,PHG39
S2-PHG39-1,25.485,S2,PHG39
S2-PHG39-2,23.393,S2,PHG39
S2-PHG39-2,24.032,S2,PHG39
S2-PHG47-1,22.111,S2,PHG47
S2-PHG47-1,22.007,S2,PHG47
S2-PHG47-2,21.58,S2,PHG47
S2-PHG47-2,21.204,S2,PHG47
S20-764-1,21.683,S20,764
S20-764-1,21.913,S20,764
S20-764-2,21.077,S20,764
S20-764-2,20.783,S20,764
S20-A554-1,23.034,S20,A554
S20-A554-1,22.997,S20,A554
