Sample_Name,B.caccae,B.ovatus,B.acidifaciens,B.fragilis,B.thetaiotaomicron,B.cellulosilyticus,B.stercoris,B.eggerthii,B.uniformis,B.massiliensis,B.vulgatus,B.dorei,Microbiome,Seed_Type,Reps
S7-LH60-2,2,57,3,114,285,2,0,0,357,0,10,358,S7,LH60,2
S12-NC262-2,283,639,0,0,329,0,838,2,38,321,1231,2,S12,NC262,2
S3-NC262-2,37,146,1,0,77,127,172,0,0,119,585,1,S3,NC262,2
S15-NC262-2,0,57,0,0,42,58,228,1,150,333,272,62,S15,NC262,2
S9-NC262-1,47,377,0,0,35,0,466,90,68,96,1539,4,S9,NC262,1
S2-NC262-1,140,322,4,0,0,93,2,0,39,1,7,464,S2,NC262,1
S6-NC262-2,0,11,0,228,420,16,1,26,100,1,1160,161,S6,NC262,2
S18-NC262-1,1,6,1,189,381,4,2,521,18,0,36,1942,S18,NC262,1
S19-NC262-2,36,45,0,0,81,125,163,0,94,166,421,17,S19,NC262,2
S12-NC262-1,114,228,0,0,191,7,547,0,13,267,695,2,S12,NC262,1
S22-NC262-1,76,312,0,1,0,0,0,0,622,0,1330,5,S22,NC262,1
S24-NC262-1,12,867,0,1,122,45,0,2,266,731,1882,2,S24,NC262,1
S16-NC262-2,0,70,0,2,152,33,27,0,14,398,443,0,S16,NC262,2
S14-NC262-1,0,18,2,0,3,0,1,0,1,1,301,265,S14,NC262,1
S7-NC262-1,0,55,0,126,344,0,1,0,419,0,6,399,S7,NC262,1
S4-NC262-1,0,1,611,1,98,173,333,0,77,0,385,0,S4,NC262,1
S9-NC262-2,52,402,3,1,45,2,419,84,66,68,1212,4,S9,NC262,2
S3-NC262-1,51,209,0,0,91,176,154,1,1,170,674,1,S3,NC262,1
S5-NC262-2,1,4,1,185,620,745,1,1,69,1,1071,1,S5,NC262,2
S15-NC262-1,0,55,0,1,44,90,177,0,142,357,229,59,S15,NC262,1
S21-NC262-2,0,1725,0,0,328,3,1,3,10,0,1134,5,S21,NC262,2
S22-NC262-2,101,342,1,7,1,0,1,1,655,4,1451,1,S22,NC262,2
S17-NC262-1,0,157,4,0,9,0,2,0,13,2,1431,298,S17,NC262,1
S4-NC262-2,0,3,839,0,121,186,405,0,145,2,527,2,S4,NC262,2
S14-NC262-2,0,11,0,0,3,2,2,0,4,0,89,86,S14,NC262,2
S20-NC262-2,84,17,6,30,170,321,3,6,88,1,525,3,S20,NC262,2
S24-NC262-2,11,732,0,0,114,67,2,1,274,611,1899,3,S24,NC262,2
S18-NC262-2,0,1,0,391,337,4,3,762,26,0,24,1578,S18,NC262,2
S20-NC262-1,56,3,0,45,191,329,0,0,125,0,461,4,S20,NC262,1
S1-NC262-1,26,25,0,1,94,174,336,3,0,104,483,4,S1,NC262,1
S5-NC262-1,3,5,0,152,579,1051,4,1,66,0,995,1,S5,NC262,1
S19-NC262-1,32,39,1,0,53,102,91,0,94,273,359,13,S19,NC262,1
S16-NC262-1,0,64,4,1,112,46,33,0,24,360,470,0,S16,NC262,1
S6-NC262-1,2,21,0,276,362,11,2,69,84,3,1004,160,S6,NC262,1
S2-NC262-2,169,166,1,3,1,21,2,0,45,0,5,488,S2,NC262,2
S1-NC262-2,17,48,0,0,88,166,325,6,2,111,481,7,S1,NC262,2
S21-NC262-1,0,1956,1,2,337,3,3,0,4,1,1159,4,S21,NC262,1
S17-NC262-2,1,248,1,0,18,3,4,0,1,1,1606,253,S17,NC262,2
S7-NC262-2,0,54,0,98,381,2,2,1,405,2,13,485,S7,NC262,2
S12-PHG35-2,100,371,2,0,137,0,623,1,10,259,820,0,S12,PHG35,2
S3-PHG35-2,33,176,2,0,65,57,176,0,3,53,394,1,S3,PHG35,2
S15-PHG35-2,1,69,0,0,51,33,391,0,153,281,294,60,S15,PHG35,2
S6-PHG35-2,0,7,1,194,291,11,1,22,94,2,862,115,S6,PHG35,2
S9-PHG35-1,45,810,1,2,20,2,363,159,62,58,1207,2,S9,PHG35,1
S2-PHG35-1,190,769,20,0,1,59,2,0,51,0,7,557,S2,PHG35,1
S18-PHG35-1,0,6,0,153,246,5,0,866,7,1,27,1550,S18,PHG35,1
S19-PHG35-2,27,43,0,2,43,203,129,0,78,148,355,6,S19,PHG35,2
S12-PHG35-1,162,699,0,0,205,1,778,1,21,191,750,3,S12,PHG35,1
S22-PHG35-1,75,467,0,3,1,0,3,2,500,0,857,2,S22,PHG35,1
S24-PHG35-1,11,1528,0,0,125,42,2,0,278,1011,1792,2,S24,PHG35,1
S14-PHG35-1,0,10,0,1,3,3,0,0,2,3,234,184,S14,PHG35,1
S7-PHG35-1,0,142,2,121,300,4,1,1,360,0,16,461,S7,PHG35,1
S16-PHG35-2,0,73,0,0,109,52,29,0,22,306,391,0,S16,PHG35,2
S4-PHG35-1,0,3,899,0,117,268,459,0,126,0,500,0,S4,PHG35,1
S9-PHG35-2,52,749,0,1,14,2,321,129,49,51,982,2,S9,PHG35,2
S3-PHG35-1,36,245,4,0,65,180,137,0,2,106,467,0,S3,PHG35,1
S5-PHG35-2,0,7,0,116,358,1573,3,0,48,0,826,1,S5,PHG35,2
S21-PHG35-2,2,2595,1,0,268,1,0,2,7,0,1189,0,S21,PHG35,2
S17-PHG35-1,1,240,0,0,6,0,11,0,0,2,1303,251,S17,PHG35,1
S22-PHG35-2,65,843,0,9,1,1,0,1,606,1,1400,4,S22,PHG35,2
S4-PHG35-2,0,3,840,0,99,306,354,0,125,1,613,0,S4,PHG35,2
S14-PHG35-2,0,8,0,0,2,0,1,1,1,1,197,167,S14,PHG35,2
S20-PHG35-2,43,6,5,8,157,439,2,0,76,0,458,1,S20,PHG35,2
S24-PHG35-2,7,1144,3,1,88,159,3,1,250,661,1481,0,S24,PHG35,2
S18-PHG35-2,0,4,0,331,347,1,0,1083,11,0,18,1415,S18,PHG35,2
S1-PHG35-1,16,48,3,1,42,316,658,7,0,95,491,1,S1,PHG35,1
S5-PHG35-1,0,1,4,140,414,1579,4,0,35,1,875,2,S5,PHG35,1
S19-PHG35-1,19,39,1,0,40,177,49,0,63,169,355,8,S19,PHG35,1
S1-PHG35-2,10,75,0,0,88,301,667,9,2,80,499,1,S1,PHG35,2
S16-PHG35-1,0,64,2,2,81,40,12,0,18,323,337,0,S16,PHG35,1
S6-PHG35-1,0,21,0,336,418,29,4,186,99,2,1143,121,S6,PHG35,1
S2-PHG35-2,206,727,4,1,1,53,0,0,39,0,5,503,S2,PHG35,2
S21-PHG35-1,0,3329,0,1,217,2,0,3,5,0,879,5,S21,PHG35,1
S17-PHG35-2,0,306,0,0,7,0,3,1,1,3,1454,252,S17,PHG35,2
S7-PHG35-2,0,70,1,90,268,3,4,1,341,1,12,354,S7,PHG35,2
S12-PHG39-2,97,198,0,0,123,2,360,4,18,251,690,0,S12,PHG39,2
S3-PHG39-2,30,150,0,1,65,125,113,1,0,95,527,5,S3,PHG39,2
S15-PHG39-2,1,68,1,0,45,111,261,0,187,360,363,45,S15,PHG39,2
S9-PHG39-1,53,596,2,1,40,3,333,82,56,77,1300,2,S9,PHG39,1
S6-PHG39-2,1,10,0,257,409,12,3,38,99,2,982,151,S6,PHG39,2
S2-PHG39-1,186,490,4,0,7,78,3,2,41,1,7,559,S2,PHG39,1
S18-PHG39-1,1,4,1,189,422,0,3,669,6,1,37,1859,S18,PHG39,1
S19-PHG39-2,29,48,1,0,60,106,126,0,93,212,392,17,S19,PHG39,2
S12-PHG39-1,157,403,0,0,193,4,464,0,26,214,725,2,S12,PHG39,1
S22-PHG39-1,83,714,0,5,0,0,0,0,718,1,1510,0,S22,PHG39,1
S16-PHG39-2,0,43,0,0,83,20,16,0,11,279,405,0,S16,PHG39,2
S24-PHG39-1,9,1272,0,0,131,136,0,1,277,688,2172,0,S24,PHG39,1
