Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed,Bac_cutis,Bac_timonensis,Bac_kribbi,Bac_faecichinchillae,Bac_rodentium,Bac_caccae,Bac_ovatus,Bac_acidifaciens,Bac_xylanisolvens,Bac_fragilis,Bac_thetaiotaomicron,Bac_intestinalis,Bac_faecis,Bac_cellulosilyticus,Bac_clarus,Bac_plebeius,Bac_coprocola,Bac_stercoris,Bac_eggerthii,Bac_salyersiae,Bac_nordii,Bac_uniformis,Bac_paurosaccharolyticus,Bac_sartorii,Bac_massiliensis,Bac_vulgatus,Bac_dorei,Bac_caecimuris,Bac_cutis_log2,Bac_timonensis_log2,Bac_kribbi_log2,Bac_faecichinchillae_log2,Bac_rodentium_log2,Bac_caccae_log2,Bac_ovatus_log2,Bac_acidifaciens_log2,Bac_xylanisolvens_log2,Bac_fragilis_log2,Bac_thetaiotaomicron_log2,Bac_intestinalis_log2,Bac_faecis_log2,Bac_cellulosilyticus_log2,Bac_clarus_log2,Bac_plebeius_log2,Bac_coprocola_log2,Bac_stercoris_log2,Bac_eggerthii_log2,Bac_salyersiae_log2,Bac_nordii_log2,Bac_uniformis_log2,Bac_paurosaccharolyticus_log2,Bac_sartorii_log2,Bac_massiliensis_log2,Bac_vulgatus_log2,Bac_dorei_log2,Bac_caecimuris_log2
S18-764-2,S18,764,2,S18_764,0,0,11,0,0,0,757,3,0,163,357,0,0,2,0,0,0,5,1575,0,2,408,0,0,0,17,1277,0,0,0,3.584962501,0,0,0,9.566054038,2,0,7.357552005,8.483815777,0,0,1.584962501,0,0,0,2.584962501,10.62205182,0,1.584962501,8.675957033,0,0,0,4.169925001,10.31967212,0
S1-764-1,S1,764,1,S1_764,0,0,1,0,0,14,597,2,0,0,91,0,0,447,2,0,0,927,7,8,0,146,0,0,87,539,1,0,0,0,1,0,0,3.906890596,9.224001674,1.584962501,0,0,6.523561956,0,0,8.807354922,1.584962501,0,0,9.857980995,3,3.169925001,0,7.199672345,0,0,6.459431619,9.076815597,1,0
S20-764-1,S20,764,1,S20_764,0,1,0,0,0,48,229,0,0,23,176,0,0,240,0,0,0,2,2,0,2,232,0,0,0,399,0,0,0,1,0,0,0,5.614709844,7.845490051,0,0,4.584962501,7.46760555,0,0,7.912889336,0,0,0,1.584962501,1.584962501,0,1.584962501,7.864186145,0,0,0,8.64385619,0,0
S5-764-1,S5,764,1,S5_764,0,1,0,0,0,1,87,0,0,129,516,0,0,2415,46,0,0,6,0,0,48,325,0,0,0,960,0,0,0,1,0,0,0,1,6.459431619,0,0,7.022367813,9.01402047,0,0,11.23840474,5.554588852,0,0,2.807354922,0,0,5.614709844,8.348728154,0,0,0,9.908392621,0,0
S1-764-2,S1,764,2,S1_764,0,1,7,0,0,10,314,0,0,0,51,0,0,355,0,0,0,853,9,8,0,112,0,0,92,596,2,0,0,1,3,0,0,3.459431619,8.299208018,0,0,0,5.700439718,0,0,8.475733431,0,0,0,9.73809226,3.321928095,3.169925001,0,6.820178962,0,0,6.539158811,9.221587121,1.584962501,0
S19-764-1,S19,764,1,S19_764,0,0,0,0,0,16,315,3,0,0,37,0,0,142,0,0,0,63,0,3,0,161,0,0,145,305,3,0,0,0,0,0,0,4.087462841,8.303780748,2,0,0,5.247927513,0,0,7.159871337,0,0,0,6,0,2,0,7.339850003,0,0,7.189824559,8.257387843,2,0
S16-764-1,S16,764,1,S16_764,0,0,2,0,0,0,106,5,0,0,73,0,0,24,0,0,0,16,0,0,23,52,0,1,229,329,1,0,0,0,1.584962501,0,0,0,6.741466986,2.584962501,0,0,6.209453366,0,0,4.64385619,0,0,0,4.087462841,0,0,4.584962501,5.727920455,0,1,7.845490051,8.366322214,1,0
S6-764-1,S6,764,1,S6_764,0,0,6,0,0,1,2456,5,0,207,380,139,0,20,1,0,0,4,104,7,0,185,0,0,1,1190,138,0,0,0,2.807354922,0,0,1,11.26268214,2.584962501,0,7.700439718,8.573647187,7.129283017,0,4.392317423,1,0,0,2.321928095,6.714245518,3,0,7.539158811,0,0,1,10.2179577,7.118941073,0
S2-764-2,S2,764,2,S2_764,0,0,2,1,0,156,1400,8,0,0,0,0,0,103,0,0,0,0,0,0,74,570,0,0,0,9,570,0,0,0,1.584962501,1,0,7.294620749,10.45224124,3.169925001,0,0,0,0,0,6.700439718,0,0,0,0,0,0,6.22881869,9.157346935,0,0,0,3.321928095,9.157346935,0
S21-764-1,S21,764,1,S21_764,0,0,5,0,0,0,3088,93,2,3,208,0,0,0,0,0,0,0,2,156,2,700,0,0,1,1033,2,0,0,0,2.584962501,0,0,0,11.59292416,6.554588852,1.584962501,2,7.707359132,0,0,0,0,0,0,0,1.584962501,7.294620749,1.584962501,9.453270634,0,0,1,10.01402047,1.584962501,0
