Sample_Name,Microbiome,Seed_Type,Reps,Microbiome_Seed,Bif_adolescentis,Bif_breve,Bif_gallicum,Bif_catenulatum,Bif_bifidum,Bif_adolescentis_log2,Bif_breve_log2,Bif_gallicum_log2,Bif_catenulatum_log2,Bif_bifidum_log2
S17-LH60-1,S17,LH60,1,S17_LH60,0,0,0,0,0,0,0,0,0,0
S17-LH60-2,S17,LH60,2,S17_LH60,0,0,0,0,0,0,0,0,0,0
S17-NC262-1,S17,NC262,1,S17_NC262,0,0,0,0,0,0,0,0,0,0
S17-NC262-2,S17,NC262,2,S17_NC262,0,0,0,0,0,0,0,0,0,0
S17-PHG35-1,S17,PHG35,1,S17_PHG35,0,0,0,0,0,0,0,0,0,0
S17-PHG35-2,S17,PHG35,2,S17_PHG35,0,1,0,0,0,0,1,0,0,0
S17-PHG39-1,S17,PHG39,1,S17_PHG39,0,0,0,0,0,0,0,0,0,0
S17-PHG39-2,S17,PHG39,2,S17_PHG39,0,1,0,0,0,0,1,0,0,0
S17-PHG47-1,S17,PHG47,1,S17_PHG47,0,0,0,0,0,0,0,0,0,0
S17-PHG47-2,S17,PHG47,2,S17_PHG47,0,0,0,0,0,0,0,0,0,0
S18-764-1,S18,764,1,S18_764,1,0,0,3,3,1,0,0,2,2
S18-764-2,S18,764,2,S18_764,0,0,0,0,0,0,0,0,0,0
S18-A554-1,S18,A554,1,S18_A554,1,0,0,2,0,1,0,0,1.584962501,0
S18-A554-2,S18,A554,2,S18_A554,3,0,0,2,0,2,0,0,1.584962501,0
S18-B57-1,S18,B57,1,S18_B57,1,0,0,1,3,1,0,0,1,2
S18-B57-2,S18,B57,2,S18_B57,1,0,0,0,0,1,0,0,0,0
S18-FBB0-1,S18,FBB0,1,S18_FBB0,0,0,0,2,0,0,0,0,1.584962501,0
S18-FBB0-2,S18,FBB0,2,S18_FBB0,4,0,0,1,2,2.321928095,0,0,1,1.584962501
S18-HP301-1,S18,HP301,1,S18_HP301,0,0,0,0,0,0,0,0,0,0
S18-HP301-2,S18,HP301,2,S18_HP301,0,0,0,0,0,0,0,0,0,0
S18-LH60-1,S18,LH60,1,S18_LH60,0,0,0,5,2,0,0,0,2.584962501,1.584962501
S18-LH60-2,S18,LH60,2,S18_LH60,0,0,0,0,0,0,0,0,0,0
S18-NC262-1,S18,NC262,1,S18_NC262,1,0,0,2,2,1,0,0,1.584962501,1.584962501
S18-NC262-2,S18,NC262,2,S18_NC262,0,0,0,0,0,0,0,0,0,0
S18-PHG35-1,S18,PHG35,1,S18_PHG35,0,0,0,1,0,0,0,0,1,0
S18-PHG35-2,S18,PHG35,2,S18_PHG35,0,0,0,2,1,0,0,0,1.584962501,1
S18-PHG39-1,S18,PHG39,1,S18_PHG39,0,0,0,1,0,0,0,0,1,0
S18-PHG39-2,S18,PHG39,2,S18_PHG39,0,0,0,2,0,0,0,0,1.584962501,0
S18-PHG47-1,S18,PHG47,1,S18_PHG47,0,0,0,0,0,0,0,0,0,0
S18-PHG47-2,S18,PHG47,2,S18_PHG47,1,0,0,1,0,1,0,0,1,0
S19-764-2,S19,764,2,S19_764,2,1,0,3,0,1.584962501,1,0,2,0
S19-764-1,S19,764,1,S19_764,2,6,0,0,0,1.584962501,2.807354922,0,0,0
S19-A554-2,S19,A554,2,S19_A554,4,0,0,1,0,2.321928095,0,0,1,0
S19-A554-1,S19,A554,1,S19_A554,3,1,0,0,0,2,1,0,0,0
S19-B57-2,S19,B57,2,S19_B57,7,0,0,0,1,3,0,0,0,1
S19-B57-1,S19,B57,1,S19_B57,7,0,0,0,0,3,0,0,0,0
S19-FBB0-2,S19,FBB0,2,S19_FBB0,2,0,0,0,0,1.584962501,0,0,0,0
S19-FBB0-1,S19,FBB0,1,S19_FBB0,9,0,0,0,0,3.321928095,0,0,0,0
S19-HP301-2,S19,HP301,2,S19_HP301,4,1,0,1,0,2.321928095,1,0,1,0
S19-HP301-1,S19,HP301,1,S19_HP301,3,1,0,1,0,2,1,0,1,0
S19-LH60-2,S19,LH60,2,S19_LH60,2,0,0,1,0,1.584962501,0,0,1,0
S19-LH60-1,S19,LH60,1,S19_LH60,1,0,0,2,0,1,0,0,1.584962501,0
S19-NC262-2,S19,NC262,2,S19_NC262,1,0,0,3,1,1,0,0,2,1
S19-NC262-1,S19,NC262,1,S19_NC262,12,0,0,2,0,3.700439718,0,0,1.584962501,0
S19-PHG35-2,S19,PHG35,2,S19_PHG35,4,1,0,1,1,2.321928095,1,0,1,1
S19-PHG35-1,S19,PHG35,1,S19_PHG35,1,1,0,0,1,1,1,0,0,1
S19-PHG39-2,S19,PHG39,2,S19_PHG39,12,1,0,0,0,3.700439718,1,0,0,0
S19-PHG39-1,S19,PHG39,1,S19_PHG39,3,0,0,0,0,2,0,0,0,0
S19-PHG47-2,S19,PHG47,2,S19_PHG47,3,1,0,0,0,2,1,0,0,0
S19-PHG47-1,S19,PHG47,1,S19_PHG47,12,10,0,0,2,3.700439718,3.459431619,0,0,1.584962501
S2-764-1,S2,764,1,S2_764,9,1,0,0,2,3.321928095,1,0,0,1.584962501
S2-764-2,S2,764,2,S2_764,1,4,0,0,1,1,2.321928095,0,0,1
S2-A554-1,S2,A554,1,S2_A554,4,0,0,0,0,2.321928095,0,0,0,0
S2-A554-2,S2,A554,2,S2_A554,1,1,0,0,1,1,1,0,0,1
S2-B57-1,S2,B57,1,S2_B57,4,6,0,0,0,2.321928095,2.807354922,0,0,0
S2-B57-2,S2,B57,2,S2_B57,1,2,0,0,4,1,1.584962501,0,0,2.321928095
S2-FBB0-1,S2,FBB0,1,S2_FBB0,7,12,0,0,0,3,3.700439718,0,0,0
S2-FBB0-2,S2,FBB0,2,S2_FBB0,8,14,0,0,2,3.169925001,3.906890596,0,0,1.584962501
S2-HP301-1,S2,HP301,1,S2_HP301,5,0,0,0,2,2.584962501,0,0,0,1.584962501
S2-HP301-2,S2,HP301,2,S2_HP301,3,1,0,0,0,2,1,0,0,0
S2-LH60-1,S2,LH60,1,S2_LH60,0,0,0,0,2,0,0,0,0,1.584962501
S2-LH60-2,S2,LH60,2,S2_LH60,10,4,0,0,3,3.459431619,2.321928095,0,0,2
S2-NC262-1,S2,NC262,1,S2_NC262,1,1,0,0,2,1,1,0,0,1.584962501
S2-NC262-2,S2,NC262,2,S2_NC262,0,3,0,0,3,0,2,0,0,2
S2-PHG35-1,S2,PHG35,1,S2_PHG35,0,0,0,0,5,0,0,0,0,2.584962501
S2-PHG35-2,S2,PHG35,2,S2_PHG35,1,4,0,0,2,1,2.321928095,0,0,1.584962501
S2-PHG39-1,S2,PHG39,1,S2_PHG39,3,2,0,0,0,2,1.584962501,0,0,0
S2-PHG39-2,S2,PHG39,2,S2_PHG39,0,0,0,0,2,0,0,0,0,1.584962501
S2-PHG47-1,S2,PHG47,1,S2_PHG47,7,0,0,0,0,3,0,0,0,0
S2-PHG47-2,S2,PHG47,2,S2_PHG47,22,7,0,0,1,4.523561956,3,0,0,1
S20-764-2,S20,764,2,S20_764,24,2,0,2,0,4.64385619,1.584962501,0,1.584962501,0
S20-764-1,S20,764,1,S20_764,27,1,0,1,1,4.807354922,1,0,1,1
S20-A554-1,S20,A554,1,S20_A554,12,0,0,3,0,3.700439718,0,0,2,0
S20-A554-2,S20,A554,2,S20_A554,16,1,0,0,0,4.087462841,1,0,0,0
S20-B57-1,S20,B57,1,S20_B57,44,0,0,0,0,5.491853096,0,0,0,0
S20-B57-2,S20,B57,2,S20_B57,54,5,0,2,0,5.781359714,2.584962501,0,1.584962501,0
S20-FBB0-1,S20,FBB0,1,S20_FBB0,12,3,0,1,0,3.700439718,2,0,1,0
S20-FBB0-2,S20,FBB0,2,S20_FBB0,23,1,0,2,0,4.584962501,1,0,1.584962501,0
S20-HP301-1,S20,HP301,1,S20_HP301,18,0,0,0,0,4.247927513,0,0,0,0
S20-HP301-2,S20,HP301,2,S20_HP301,21,1,0,2,7,4.459431619,1,0,1.584962501,3
S20-LH60-2,S20,LH60,2,S20_LH60,26,5,0,3,0,4.754887502,2.584962501,0,2,0
S20-NC262-2,S20,NC262,2,S20_NC262,28,2,0,3,0,4.857980995,1.584962501,0,2,0
S20-NC262-1,S20,NC262,1,S20_NC262,32,1,0,2,0,5.044394119,1,0,1.584962501,0
S20-PHG35-2,S20,PHG35,2,S20_PHG35,20,3,0,8,1,4.392317423,2,0,3.169925001,1
S20-PHG39-2,S20,PHG39,2,S20_PHG39,45,1,0,3,0,5.523561956,1,0,2,0
S20-PHG39-1,S20,PHG39,1,S20_PHG39,45,3,0,0,1,5.523561956,2,0,0,1
S20-PHG47-2,S20,PHG47,2,S20_PHG47,24,2,0,3,0,4.64385619,1.584962501,0,2,0
S20-PHG47-1,S20,PHG47,1,S20_PHG47,23,6,0,2,2,4.584962501,2.807354922,0,1.584962501,1.584962501
S21-764-2,S21,764,2,S21_764,0,0,0,0,0,0,0,0,0,0
S21-764-1,S21,764,1,S21_764,0,0,0,0,1,0,0,0,0,1
S21-A554-2,S21,A554,2,S21_A554,0,4,0,0,1,0,2.321928095,0,0,1
S21-A554-1,S21,A554,1,S21_A554,0,0,0,0,1,0,0,0,0,1
S21-B57-2,S21,B57,2,S21_B57,0,1,0,0,0,0,1,0,0,0
