"","means.CFU","means.std","means.r","means.se","means.Min","means.Max","means.Q25","means.Q50","means.Q75"
"FBB0:S12",8528.46924727464,3330.17584324301,4,416914.211785768,4362.1397770315,11388.0537561155,6585.78274519902,9181.84172797576,11124.5282300514
"FBB0:S14",12367.7265378124,12748.0183833496,4,416914.211785768,902.806173312161,26621.8081875446,1981.55842053912,10973.1458951964,21359.3140124697
"FBB0:S15",30511.7553286654,9505.53911911737,4,416914.211785768,21812.8146460817,41749.3619496106,23080.2543912471,29242.4223594847,36673.923296903
"FBB0:S16",4671.81284085772,1229.905534025,4,416914.211785768,3568.82788014071,5874.92381260576,3633.50973832262,4621.7498353422,5660.0529378773
"FBB0:S17",2021.22710945416,840.824820704452,3,481411.064806988,1050.46136624102,2520.63791624572,1771.52170605838,2492.58204587574,2506.60998106073
"FBB0:S18",52689.2498222425,16169.9851374854,4,416914.211785768,40461.2258254193,76351.909027015,43702.4744963813,46971.9322182677,55958.7075441289
"FBB0:S19",265387.451226391,224269.593394405,4,416914.211785768,79550.6211938609,537747.873921252,82515.7474629045,222125.654895225,404997.358658711
"FBB0:S2",528765.050675405,243915.396773456,4,416914.211785768,302724.276835757,855997.174266479,368948.228974597,478169.375799692,637986.1975005
"FBB0:S20",254344.040681245,99684.5735469596,4,416914.211785768,143114.673086393,358332.625610011,186170.285322298,257964.432014288,326138.187373235
"FBB0:S21",21106.9265909414,18719.7544361499,4,416914.211785768,4749.44863505705,41192.3567268044,5372.43375155278,19242.950500952,34977.4433403406
"FBB0:S22",15094.4319280707,11468.802540333,4,416914.211785768,4243.35244843578,25023.0361830203,5655.0523592634,15555.6695404133,24995.0491092205
"FBB0:S24",37062.5924117229,12696.7566188856,4,416914.211785768,21505.7423976324,49381.5681485529,29509.4618736091,38681.5295503531,46234.6600884668
"FBB0:S3",19836.0783497149,3411.15183651877,4,416914.211785768,14764.704586064,22140.7865641029,19486.9836233942,21219.4111243464,21568.5058506671
"FBB0:S4",172.896623971739,NA,1,833828.423571537,172.896623971739,172.896623971739,172.896623971739,172.896623971739,172.896623971739
"FBB0:S5",15048.2188169735,10374.1699695462,4,416914.211785768,6089.16084834066,29509.2907320111,8473.62698727761,12297.2118437711,18871.803673467
"FBB0:S6",79713.1122962231,48042.3815000196,4,416914.211785768,37974.6129801783,125970.466189751,38381.2816820605,77453.6850074817,118785.515621644
